Day,Exercise,Minutes,Calories Burned
2017-03-09,"Cycling (Garmin)",121.06666666666666,-1254.00
2017-01-11,"Daily Activity (Garmin)",30.0,-27.00
2017-03-03,"Paddling (Garmin)",38.9,-311.00
2017-10-26,"Running (Garmin)",43.61666666666667,-607.00
2017-12-16,"Daily Activity (Garmin)",4.0,-18.00
2017-01-24,"Indoor cardio (Garmin)",7.133333333333334,-9.00
2017-01-19,"Indoor cardio (Garmin)",9.783333333333333,-12.00
2017-02-17,"Indoor cardio (Garmin)",6.566666666666666,-12.00
2017-12-15,"Daily Activity (Garmin)",114.0,-370.00
2017-02-16,"Daily Activity (Garmin)",0.0,0.00
2017-03-03,"Paddling (Garmin)",30.05,-410.00
2017-01-10,"Daily Activity (Garmin)",114.0,-135.00
2017-10-05,"Lap swimming (Garmin)",30.616666666666667,-295.00
2017-01-09,"Daily Activity (Garmin)",94.0,-197.00
2017-12-14,"Daily Activity (Garmin)",52.0,-170.00
2017-02-14,"Cycling (Garmin)",116.28333333333333,-1249.00
2017-02-15,"Daily Activity (Garmin)",67.0,-259.00
2017-01-22,"Indoor cardio (Garmin)",6.85,-10.00
2017-01-08,"Daily Activity (Garmin)",49.0,-91.00
2017-02-17,"Cycling (Garmin)",82.23333333333333,-609.00
2017-10-23,"Running (Garmin)",30.233333333333334,-475.00
2017-12-13,"Daily Activity (Garmin)",36.0,-115.00
2017-02-13,"Daily Activity (Garmin)",0.0,0.00
2017-03-01,"Indoor cardio (Garmin)",7.283333333333333,-10.00
2017-01-07,"Daily Activity (Garmin)",56.0,-64.00
2017-02-14,"Cycling (Garmin)",6.516666666666667,-86.00
2017-01-22,"Indoor cycling (Garmin)",89.88333333333334,-784.00
2017-01-06,"Daily Activity (Garmin)",45.0,-21.00
2017-12-12,"Daily Activity (Garmin)",61.0,-172.00
2017-02-11,"Daily Activity (Garmin)",26.0,-66.00
2017-03-06,"Indoor cardio (Garmin)",6.166666666666667,-10.00
2017-01-05,"Daily Activity (Garmin)",69.0,-105.00
2017-02-10,"Daily Activity (Garmin)",114.0,-78.00
2017-11-20,"Indoor cycling (Garmin)",45.016666666666666,-513.00
2017-12-11,"Daily Activity (Garmin)",78.0,-269.00
2017-01-15,"Indoor cardio (Garmin)",6.183333333333334,-8.00
2017-01-04,"Daily Activity (Garmin)",25.0,-118.00
2017-02-09,"Daily Activity (Garmin)",37.0,-116.00
2017-02-28,"Indoor cardio (Garmin)",9.166666666666666,-12.00
2017-03-11,"Indoor cardio (Garmin)",6.583333333333333,-13.00
2017-12-10,"Daily Activity (Garmin)",48.0,-255.00
2017-01-03,"Daily Activity (Garmin)",13.0,-41.00
2017-03-19,"Indoor cardio (Garmin)",6.633333333333334,-12.00
2017-12-09,"Daily Activity (Garmin)",25.0,-119.00
2017-01-15,"Running (Garmin)",8.216666666666667,-78.00
2017-01-02,"Daily Activity (Garmin)",22.0,-104.00
2017-02-08,"Daily Activity (Garmin)",33.0,-50.00
2017-02-13,"Indoor cardio (Garmin)",6.35,-10.00
2017-12-02,"Treadmill running (Garmin)",40.516666666666666,-517.00
2017-12-08,"Daily Activity (Garmin)",62.0,-203.00
2017-03-01,"Paddling (Garmin)",53.13333333333333,-501.00
2017-01-01,"Daily Activity (Garmin)",57.0,-185.00
2017-12-07,"Daily Activity (Garmin)",3.0,-33.00
2017-01-15,"Running (Garmin)",75.03333333333333,-589.00
2017-02-07,"Daily Activity (Garmin)",61.0,-198.00
2017-04-27,"Lap swimming (Garmin)",50.083333333333336,-378.00
2016-12-31,"Daily Activity (Garmin)",96.0,-123.00
2017-02-13,"Running (Garmin)",8.0,-113.00
2017-03-12,"Indoor cardio (Garmin)",6.516666666666667,-10.00
2017-12-06,"Daily Activity (Garmin)",72.0,-220.00
2017-02-06,"Daily Activity (Garmin)",19.0,-98.00
2016-12-28,"Daily Activity (Garmin)",167.0,-296.00
2017-01-15,"Paddling (Garmin)",32.15,-426.00
2017-04-30,"Lap swimming (Garmin)",56.4,-532.00
2016-12-27,"Daily Activity (Garmin)",42.0,-155.00
2017-02-13,"Paddling (Garmin)",68.51666666666667,-681.00
2017-12-05,"Daily Activity (Garmin)",46.0,-161.00
2017-02-04,"Daily Activity (Garmin)",56.0,-31.00
2016-12-26,"Daily Activity (Garmin)",13.0,-55.00
2017-03-15,"Indoor cardio (Garmin)",6.066666666666666,-10.00
2017-10-24,"Lap swimming (Garmin)",49.36666666666667,-320.00
2017-05-01,"Indoor cardio (Garmin)",6.45,-8.00
2017-01-15,"Running (Garmin)",7.95,-116.00
2017-12-04,"Daily Activity (Garmin)",40.0,-129.00
2016-12-25,"Daily Activity (Garmin)",19.0,-67.00
2017-02-01,"Daily Activity (Garmin)",91.0,0.00
2017-02-13,"Running (Garmin)",6.3,-88.00
2016-12-24,"Daily Activity (Garmin)",28.0,-122.00
2017-03-15,"Running (Garmin)",6.3,-102.00
2017-01-31,"Daily Activity (Garmin)",28.0,-111.00
2017-05-01,"Paddling (Garmin)",82.11666666666666,-808.00
2016-12-23,"Daily Activity (Garmin)",66.0,-233.00
2017-02-16,"Indoor cardio (Garmin)",6.15,-11.00
2017-01-21,"Indoor cardio (Garmin)",6.45,-10.00
2017-01-29,"Daily Activity (Garmin)",31.0,-42.00
2017-12-03,"Daily Activity (Garmin)",39.0,-84.00
2017-03-15,"Paddling (Garmin)",35.11666666666667,-144.00
2017-12-28,"Running (Garmin)",33.21666666666667,-490.00
2016-12-22,"Daily Activity (Garmin)",84.0,-270.00
2017-12-02,"Daily Activity (Garmin)",68.0,-38.00
2017-01-28,"Daily Activity (Garmin)",118.0,-185.00
2017-02-08,"Indoor cardio (Garmin)",6.233333333333333,-6.00
2017-05-02,"Indoor cardio (Garmin)",7.366666666666666,-13.00
2017-01-27,"Daily Activity (Garmin)",47.0,-162.00
2017-01-21,"Running (Garmin)",36.13333333333333,-536.00
2017-12-01,"Daily Activity (Garmin)",57.0,-171.00
2016-12-21,"Daily Activity (Garmin)",83.0,-141.00
2017-01-21,"Indoor cycling (Garmin)",30.066666666666666,-340.00
2017-03-14,"Indoor cardio (Garmin)",6.366666666666666,-13.00
2017-11-19,"Running (Garmin)",62.6,-934.00
2017-02-08,"Running (Garmin)",7.466666666666667,-104.00
2017-05-02,"Paddling (Garmin)",75.78333333333333,-802.00
2017-11-30,"Daily Activity (Garmin)",97.0,-207.00
2016-12-19,"Daily Activity (Garmin)",13.0,-47.00
2017-01-20,"Indoor cardio (Garmin)",6.433333333333334,-10.00
2017-04-25,"Paddling (Garmin)",77.06666666666666,-801.00
2017-03-15,"Paddling (Garmin)",19.383333333333333,-287.00
2017-02-08,"Running (Garmin)",7.133333333333334,-98.00
2017-11-29,"Daily Activity (Garmin)",63.0,0.00
2017-08-24,"Running (Garmin)",55.95,-818.00
2017-11-28,"Daily Activity (Garmin)",146.0,-103.00
2017-01-20,"Lap swimming (Garmin)",55.18333333333333,-575.00
2016-12-16,"Daily Activity (Garmin)",3.0,-13.00
2017-03-15,"Running (Garmin)",7.083333333333333,-110.00
2017-01-17,"Indoor cardio (Garmin)",6.883333333333334,-14.00
2017-11-27,"Daily Activity (Garmin)",56.0,-105.00
2017-04-09,"Cycling (Garmin)",157.45,-1029.00
2016-12-15,"Daily Activity (Garmin)",37.0,-219.00
2017-11-05,"Running (Garmin)",74.55,-572.00
2017-04-26,"Indoor cardio (Garmin)",7.016666666666667,-13.00
2016-12-14,"Daily Activity (Garmin)",64.0,-171.00
2017-11-26,"Daily Activity (Garmin)",39.0,-131.00
2016-12-13,"Daily Activity (Garmin)",60.0,-131.00
2017-04-09,"Cycling (Garmin)",7.15,-98.00
2017-01-17,"Running (Garmin)",9.833333333333334,-138.00
2017-04-01,"Indoor cardio (Garmin)",6.016666666666667,-11.00
2017-12-25,"Running (Garmin)",31.5,-451.00
2016-12-12,"Daily Activity (Garmin)",55.0,-145.00
2017-05-15,"Cycling (Garmin)",29.383333333333333,-414.00
2016-12-11,"Daily Activity (Garmin)",32.0,-112.00
2017-04-01,"Running (Garmin)",79.31666666666666,-1097.00
2016-12-10,"Daily Activity (Garmin)",180.0,-550.00
2017-01-17,"Treadmill running (Garmin)",25.416666666666668,-199.00
2017-10-07,"Treadmill running (Garmin)",31.0,-440.00
2017-05-15,"Open water swimming (Garmin)",38.166666666666664,-442.00
2016-12-09,"Daily Activity (Garmin)",49.0,-202.00
2017-02-11,"Indoor cardio (Garmin)",8.116666666666667,-12.00
2017-04-21,"Paddling (Garmin)",103.61666666666666,-1022.00
2017-01-17,"Running (Garmin)",9.316666666666666,-138.00
2017-05-15,"Cycling (Garmin)",36.833333333333336,-462.00
2016-12-08,"Daily Activity (Garmin)",3.0,-9.00
2016-12-07,"Daily Activity (Garmin)",46.0,-112.00
2017-01-31,"Indoor cardio (Garmin)",6.016666666666667,-5.00
2017-04-04,"Lap swimming (Garmin)",29.033333333333335,-299.00
2017-03-13,"Indoor cardio (Garmin)",6.65,-10.00
2017-12-07,"Indoor cycling (Garmin)",43.733333333333334,-594.00
2016-12-06,"Daily Activity (Garmin)",24.0,-70.00
2017-01-31,"Indoor cardio (Garmin)",6.016666666666667,-6.00
2017-05-16,"Indoor cardio (Garmin)",6.683333333333334,-10.00
2017-04-05,"Indoor cardio (Garmin)",6.383333333333334,-9.00
2016-12-05,"Daily Activity (Garmin)",37.0,-139.00
2017-01-28,"Indoor cardio (Garmin)",8.316666666666666,-11.00
2017-04-29,"Indoor cardio (Garmin)",7.016666666666667,-11.00
2017-03-27,"Running (Garmin)",55.38333333333333,-623.00
2016-12-04,"Daily Activity (Garmin)",62.0,-222.00
2017-04-05,"Running (Garmin)",7.816666666666666,-112.00
2017-11-30,"Indoor cycling (Garmin)",42.46666666666667,-485.00
2017-01-28,"Indoor cardio (Garmin)",6.2,-9.00
2017-04-29,"Paddling (Garmin)",71.9,-644.00
2017-03-21,"Indoor cardio (Garmin)",6.166666666666667,-12.00
2016-12-03,"Daily Activity (Garmin)",74.0,-227.00
2017-04-18,"Indoor cardio (Garmin)",6.083333333333333,-12.00
2017-10-12,"Running (Garmin)",45.266666666666666,-613.00
2016-12-02,"Daily Activity (Garmin)",72.0,-285.00
