Datetime,Calories,CHO,FAT,PRO
2018-12-19T00:00:00Z,1276.3,134.8,37.5,94.5
2018-12-20T00:00:00Z,2409.1000000000004,266.4,99.2,97.30000000000001
2018-12-21T00:00:00Z,1747.9,191.6,65.2,96.1
2018-12-22T00:00:00Z,1143.3,93.5,59,25.4
2018-12-23T00:00:00Z,1456.7,129.6,44.7,80.2
2018-12-24T00:00:00Z,2927.8,262,94.4,75.19999999999999
2018-12-25T00:00:00Z,2189.3,239.8,94.9,53.8
2018-12-26T00:00:00Z,1115.1,108.3,47.7,24.4
2018-12-27T00:00:00Z,1766.2,204.6,62.5,84.2
2018-12-28T00:00:00Z,2100.5,175.60000000000002,104.1,87.2
2018-12-29T00:00:00Z,2506.9,218.6,114.7,81.5
2018-12-30T00:00:00Z,1991.3,228.1,67.8,70.3
2019-01-01T00:00:00Z,2377.3,191.5,114.3,115.4
2019-01-02T00:00:00Z,2126.6,204,89.9,104
2019-01-06T00:00:00Z,1648.3,170.5,60.099999999999994,91.5
2019-01-07T00:00:00Z,2116.8,214.2,99.3,77
2019-01-08T00:00:00Z,1881.8999999999999,127.7,89.4,103.6
2019-01-09T00:00:00Z,2041.4,245.5,85.6,61.6
2019-01-11T00:00:00Z,810,85,35,41
2019-05-10T00:00:00Z,2485.3,218.5,72,74.4
2019-05-11T00:00:00Z,3239.6000000000004,286.6,122.6,114.89999999999999
2019-05-12T00:00:00Z,2370.3,172.8,125.10000000000001,127.9
2019-05-13T00:00:00Z,1937.6,226.79999999999998,79,89.3
2019-05-14T00:00:00Z,1994,187.8,83.9,130.3
2019-05-15T00:00:00Z,2306.8,96,120.1,168.1
2019-05-16T00:00:00Z,2119.1,260.4,90,69.8
2019-05-17T00:00:00Z,2800.8999999999996,233.60000000000002,135.1,171.89999999999998
2019-05-18T00:00:00Z,2594.9,218.10000000000002,139.6,89.50000000000001
2019-05-19T00:00:00Z,2878.8,167.2,162.5,169.5
2019-05-20T00:00:00Z,1631.9,104.1,70.10000000000001,148
2019-05-21T00:00:00Z,3170,195.89999999999998,186,127.5
2019-05-22T00:00:00Z,3982.9,355,227.39999999999998,116.9
2019-05-23T00:00:00Z,2094.8,128.8,110.3,90.19999999999999
